Name,POS,GP,REC,TGTS,YDS,AVG,TD,LNG,BIG,YDS/G,FUM,LST,YAC,FD
Trey McBrideARI,TE,3,14,21,122,8.7,0,21,1,40.7,0,0,44,4
Austin EkelerWSH,RB,3,9,9,121,13.4,0,27,2,40.3,0,0,136,6
Rashod BatemanBAL,WR,3,8,13,121,15.1,1,38,1,40.3,0,0,16,6
Mike EvansTB,WR,3,10,15,120,12.0,2,24,1,40.0,0,0,29,7
Breece HallNYJ,RB,3,16,19,120,7.5,1,26,1,40.0,1,1,101,4
Tyler JohnsonLAR,WR,3,10,14,119,11.9,0,63,1,39.7,0,0,81,3
A.J. BrownPHI,WR,1,5,10,119,23.8,1,67,2,119.0,0,0,65,5
Brandon AiyukSF,WR,3,11,20,119,10.8,0,22,1,39.7,0,0,21,8
George KittleSF,TE,2,11,13,116,10.5,1,26,2,58.0,0,0,54,5
Amari CooperCLE,WR,3,12,29,113,9.4,2,24,2,37.7,0,0,18,6
Ray-Ray McCloudATL,WR,3,9,15,111,12.3,0,20,1,37.0,0,0,35,6
Adam ThielenCAR,WR,3,8,12,109,13.6,1,32,2,36.3,0,0,25,5
Tyler ConklinNYJ,TE,3,7,10,109,15.6,0,22,3,36.3,0,0,46,5
Ladd McConkeyLAC,WR,3,10,17,109,10.9,1,18,0,36.3,0,0,35,7
Christian KirkJAX,WR,3,10,17,108,10.8,0,30,2,36.0,0,0,27,6
Calvin AustinPIT,WR,3,6,9,108,18.0,1,55,2,36.0,0,0,60,3
Jalen NailorMIN,WR,3,7,9,106,15.1,3,26,2,35.3,0,0,11,7
Kyle PittsATL,TE,3,8,12,105,13.1,1,50,1,35.0,0,0,36,4
Michael WilsonARI,WR,3,11,13,100,9.1,1,28,2,33.3,0,0,17,5
Pat FreiermuthPIT,TE,3,12,13,99,8.3,0,15,0,33.0,0,0,53,6
Tank DellHOU,WR,3,9,17,99,11.0,0,23,1,33.0,0,0,33,5
Rachaad WhiteTB,RB,3,12,13,98,8.2,0,32,1,32.7,0,0,143,2
Aaron JonesMIN,RB,3,12,14,97,8.1,1,20,1,32.3,1,1,118,3
James CookBUF,RB,3,8,9,97,12.1,1,25,1,32.3,0,0,89,5
Sam LaPortaDET,TE,3,8,10,94,11.8,0,24,1,31.3,0,0,38,5
Greg DortchARI,WR,3,11,16,93,8.5,0,14,0,31.0,0,0,52,6
Brandin CooksDAL,WR,4,9,19,91,10.1,1,21,1,22.8,0,0,16,6
DeAndre HopkinsTEN,WR,3,8,10,90,11.3,1,20,1,30.0,0,0,7,5
Bijan RobinsonATL,RB,3,11,12,89,8.1,0,17,0,29.7,0,0,122,5
Michael PittmanIND,WR,3,11,20,88,8.0,0,13,0,29.3,0,0,27,3
Lil'Jordan HumphreyDEN,WR,3,10,14,87,8.7,0,27,1,29.0,0,0,56,3
Noah BrownWSH,WR,2,6,6,85,14.2,0,34,1,42.5,0,0,27,4
Noah FantSEA,TE,3,9,13,85,9.4,0,16,0,28.3,0,0,41,4
Andrei IosivasCIN,WR,3,10,17,85,8.5,3,16,0,28.3,0,0,11,8
Dalton KincaidBUF,TE,3,8,11,85,10.6,1,28,1,28.3,0,0,64,3
Justice HillBAL,RB,3,10,12,83,8.3,0,18,0,27.7,0,0,95,4
DeMario DouglasNE,WR,3,9,12,81,9.0,0,22,1,27.0,0,0,26,4
Xavier WorthyKC,WR,3,6,11,81,13.5,1,35,1,27.0,0,0,65,4
Alexander MattisonLV,RB,3,7,9,80,11.4,1,31,2,26.7,0,0,81,4
Colby ParkinsonLAR,TE,3,8,12,80,10.0,0,20,1,26.7,0,0,44,5
Christian WatsonGB,WR,3,5,7,80,16.0,1,37,2,26.7,0,0,23,3
Jonnu SmithMIA,TE,3,9,12,78,8.7,0,15,0,26.0,0,0,39,3
Tyler BoydTEN,WR,3,8,14,77,9.6,0,20,1,25.7,0,0,33,5
Javonte WilliamsDEN,RB,3,10,11,77,7.7,0,14,0,25.7,0,0,82,2
Xavier LegetteCAR,WR,3,6,10,77,12.8,0,35,1,25.7,0,0,31,3
Brenton StrangeJAX,TE,3,5,11,77,15.4,1,30,2,25.7,0,0,15,3
Tucker KraftGB,TE,3,6,8,77,12.8,0,29,2,25.7,0,0,65,3
Zach CharbonnetSEA,RB,3,10,12,76,7.6,1,30,1,25.3,0,0,71,2
Tyjae SpearsTEN,RB,3,10,10,76,7.6,0,29,1,25.3,0,0,92,3
Jahmyr GibbsDET,RB,3,11,13,76,6.9,1,20,1,25.3,0,0,104,5
Nelson AgholorBAL,WR,3,3,5,75,25.0,0,56,1,25.0,0,0,53,2
Keon ColemanBUF,WR,3,5,7,75,15.0,1,28,2,25.0,0,0,16,3
Rico DowdleDAL,RB,4,9,12,74,8.2,1,18,0,18.5,0,0,70,2
Hunter LuepkeDAL,RB,4,6,7,73,12.2,0,24,1,18.3,0,0,47,4
Devin SingletaryNYG,RB,4,10,11,72,7.2,0,23,1,18.0,0,0,117,3
Elijah MooreCLE,WR,3,11,17,70,6.4,0,22,1,23.3,0,0,31,3
Travis KelceKC,TE,3,8,12,69,8.6,0,23,1,23.0,0,0,21,4
Zack MossCIN,RB,3,8,11,69,8.6,0,13,0,23.0,0,0,62,4
Eric SaubertSF,TE,3,4,5,67,16.8,0,20,1,22.3,0,0,31,2
Tony PollardTEN,RB,3,11,14,67,6.1,0,22,1,22.3,0,0,47,2
Ashton DulinIND,WR,3,2,4,67,33.5,1,54,1,22.3,0,0,43,2
Chuba HubbardCAR,RB,3,9,10,67,7.4,1,20,1,22.3,0,0,88,4
Jordan AkinsCLE,TE,3,8,12,66,8.3,0,13,0,22.0,0,0,41,2
Kyle JuszczykSF,FB,3,6,9,65,10.8,0,34,1,21.7,0,0,12,2
Mark AndrewsBAL,TE,3,6,8,65,10.8,0,16,0,21.7,0,0,20,5
Luke McCaffreyWSH,WR,3,6,6,62,10.3,0,30,1,20.7,0,0,37,3
Will DisslyLAC,TE,3,7,7,61,8.7,0,15,0,20.3,0,0,45,4
Ty JohnsonBUF,RB,3,4,6,61,15.3,1,33,1,20.3,0,0,7,3
DeAndre CarterCHI,WR,3,7,12,60,8.6,0,14,0,20.0,0,0,31,3
Justin WatsonKC,WR,3,4,5,60,15.0,0,25,1,20.0,0,0,19,3
Jonathan MingoCAR,WR,3,6,11,59,9.8,0,35,1,19.7,0,0,35,2
Jalen McMillanTB,WR,3,3,6,59,19.7,1,32,2,19.7,0,0,8,3
Jerome FordCLE,RB,3,10,13,58,5.8,0,24,1,19.3,0,0,65,2
Kyren WilliamsLAR,RB,3,9,10,58,6.4,1,15,0,19.3,0,0,54,2
Jonathan TaylorIND,RB,3,3,6,57,19.0,0,25,1,19.0,1,0,62,3
Brian RobinsonWSH,RB,3,5,8,56,11.2,0,32,1,18.7,0,0,67,1
Josh WhyleTEN,TE,3,6,7,56,9.3,0,23,1,18.7,0,0,20,4
Austin HooperNE,TE,3,4,9,55,13.8,0,19,0,18.3,0,0,55,3
KaVontae TurpinDAL,WR,4,5,8,55,11.0,1,23,1,13.8,0,0,16,3
David MontgomeryDET,RB,3,8,8,54,6.8,0,15,0,18.0,0,0,57,1
Isiah PachecoKC,RB,2,7,8,54,7.7,0,23,1,27.0,0,0,82,3
Erick AllCIN,TE,3,8,8,54,6.8,0,19,0,18.0,0,0,30,3
Mike WilliamsNYJ,WR,3,4,5,53,13.3,0,19,0,17.7,0,0,10,3
Hayden HurstLAC,TE,3,5,7,53,10.6,0,27,1,17.7,0,0,16,1
Saquon BarkleyPHI,RB,3,10,11,53,5.3,1,18,0,17.7,0,0,37,4
Cade OttonTB,TE,3,8,12,52,6.5,0,13,0,17.3,1,1,24,4
Tommy TrembleCAR,TE,2,6,7,52,8.7,0,20,1,26.0,0,0,21,2
Jalen BrooksDAL,WR,4,3,7,52,17.3,0,24,1,13.0,0,0,25,3
Dare OgunbowaleHOU,RB,3,5,5,51,10.2,0,15,0,17.0,0,0,45,2
Noah GrayKC,TE,3,4,5,50,12.5,0,13,0,16.7,0,0,24,3
Jordan WhittingtonLAR,WR,3,5,5,50,10.0,0,22,1,16.7,0,0,49,3
Kylen GransonIND,TE,3,2,4,49,24.5,0,40,1,16.3,0,0,31,1
Dalton SchultzHOU,TE,3,7,11,48,6.9,0,16,0,16.0,0,0,21,2
Luke SchoonmakerDAL,TE,4,7,8,48,6.9,0,15,0,12.0,0,0,28,3
Jermaine BurtonCIN,WR,3,1,2,47,47.0,0,47,1,15.7,0,0,7,1
D'Andre SwiftCHI,RB,3,6,10,46,7.7,0,14,0,15.3,0,0,52,1
Chig OkonkwoTEN,TE,3,7,7,46,6.6,1,17,0,15.3,0,0,23,1
Foster MoreauNO,TE,3,5,6,45,9.0,1,22,1,15.0,0,0,10,3
Braelon AllenNYJ,RB,3,6,8,45,7.5,1,12,0,15.0,0,0,49,2
Joe MixonHOU,RB,2,6,8,44,7.3,0,11,0,22.0,0,0,51,2
David NjokuCLE,TE,1,4,5,44,11.0,0,29,1,44.0,0,0,28,1
James ConnerARI,RB,3,5,6,43,8.6,0,22,1,14.3,0,0,54,1
Mack HollinsBUF,WR,3,3,5,41,13.7,1,16,0,13.7,0,0,11,3
Tyrone TracyNYG,RB,4,4,6,41,10.3,0,19,0,10.3,0,0,41,1
Elijah HigginsARI,TE,3,4,4,41,10.3,1,18,0,13.7,0,0,18,3
Curtis SamuelBUF,WR,3,6,7,40,6.7,0,10,0,13.3,0,0,40,1
Tee HigginsCIN,WR,1,3,6,39,13.0,0,16,0,39.0,0,0,8,2
Devaughn VeleDEN,WR,1,8,8,39,4.9,0,9,0,39.0,0,0,22,1
Travis EtienneJAX,RB,3,9,13,38,4.2,0,12,0,12.7,0,0,37,2
Theo JohnsonNYG,TE,4,3,8,37,12.3,0,18,0,9.3,0,0,23,2
Emanuel WilsonGB,RB,3,4,5,37,9.3,1,30,1,12.3,0,0,54,2
Ezekiel ElliottDAL,RB,4,6,8,36,6.0,0,15,0,9.0,0,0,57,2
Brock WrightDET,TE,3,5,6,36,7.2,0,11,0,12.0,0,0,17,2
Derrick HenryBAL,RB,3,2,4,35,17.5,0,23,1,11.7,0,0,39,2
Puka NacuaLAR,WR,1,4,4,35,8.8,0,16,0,35.0,0,0,17,1
Jordan AddisonMIN,WR,1,3,4,35,11.7,0,16,0,35.0,0,0,0,2
Britain CoveyPHI,WR,3,7,7,34,4.9,0,11,0,11.3,0,0,28,2
Charlie KolarBAL,TE,3,2,2,34,17.0,0,30,1,11.3,0,0,29,1
Joshua PalmerLAC,WR,2,4,6,34,8.5,0,11,0,17.0,0,0,12,2
Dyami BrownWSH,WR,3,4,6,33,8.3,0,12,0,11.0,0,0,39,2
Roschon JohnsonCHI,RB,2,4,5,32,8.0,0,11,0,16.0,0,0,21,1
Adonai MitchellIND,WR,3,2,10,32,16.0,0,30,1,10.7,0,0,4,1
Scotty MillerPIT,WR,3,2,2,31,15.5,0,20,1,10.3,0,0,22,1
Ja'Lynn PolkNE,WR,3,5,6,31,6.2,1,7,0,10.3,0,0,0,1
Dawson KnoxBUF,TE,3,2,4,30,15.0,0,23,1,10.0,0,0,20,1
Dee EskridgeMIA,WR,1,1,1,30,30.0,0,30,1,30.0,0,0,17,1
Grant CalcaterraPHI,TE,3,3,3,30,10.0,0,15,0,10.0,0,0,11,3
Najee HarrisPIT,RB,3,7,9,30,4.3,0,9,0,10.0,0,0,36,0
Pierre StrongCLE,RB,2,3,5,30,10.0,0,20,1,15.0,0,0,29,1
Julian HillMIA,TE,3,3,5,30,10.0,0,13,0,10.0,0,0,16,2
Keenan AllenCHI,WR,1,4,11,29,7.3,0,9,0,29.0,0,0,15,2
Johnny MundtMIN,TE,3,5,9,29,5.8,1,9,0,9.7,0,0,11,1
Brandon PowellMIN,WR,3,3,4,29,9.7,0,13,0,9.7,0,0,5,2
Olamide ZaccheausWSH,WR,3,4,6,29,7.3,0,15,0,9.7,0,0,21,2
Samaje PerineKC,RB,3,5,7,28,5.6,0,10,0,9.3,0,0,37,1
Drew SampleCIN,TE,3,3,3,28,9.3,0,12,0,9.3,1,0,18,1
K.J. OsbornNE,WR,3,4,8,28,7.0,0,9,0,9.3,0,0,6,1
Greg DulcichDEN,TE,3,5,11,28,5.6,0,9,0,9.3,0,0,15,0
Jaylen WarrenPIT,RB,3,5,5,28,5.6,0,12,0,9.3,0,0,34,1
Bucky IrvingTB,RB,3,5,6,28,5.6,0,9,0,9.3,0,0,37,1
Kalif RaymondDET,WR,3,3,4,27,9.0,0,18,0,9.0,0,0,9,1
Josh OliverMIN,TE,3,2,3,27,13.5,0,22,1,9.0,0,0,1,1
Tyquan ThorntonNE,WR,3,2,4,27,13.5,0,17,0,9.0,0,0,3,1
David BellCLE,WR,2,3,3,27,9.0,0,12,0,13.5,0,0,8,1
Marquez Valdes-ScantlingBUF,WR,3,2,5,26,13.0,0,19,0,8.7,0,0,6,1
Juwan JohnsonNO,TE,3,2,3,26,13.0,1,16,0,8.7,0,0,4,1
Emari DemercadoARI,RB,3,2,2,26,13.0,0,24,1,8.7,0,0,25,1
Dontayvion WicksGB,WR,3,3,9,26,8.7,1,14,0,8.7,0,0,8,2
Trent Sherfield Sr.MIN,WR,3,2,3,25,12.5,0,17,0,8.3,0,0,15,1
Josh JacobsGB,RB,3,3,4,25,8.3,0,11,0,8.3,0,0,34,1
Ty ChandlerMIN,RB,3,3,3,25,8.3,0,10,0,8.3,0,0,28,2
Mo Alie-CoxIND,TE,3,1,3,22,22.0,0,22,1,7.3,0,0,9,1
Kenneth GainwellPHI,RB,3,3,4,22,7.3,0,10,0,7.3,0,0,25,1
Josh DownsIND,WR,1,3,5,22,7.3,0,13,0,22.0,0,0,19,0
Michael MayerLV,TE,3,4,7,21,5.3,0,11,0,7.0,0,0,8,3
Parker WashingtonJAX,WR,3,3,5,21,7.0,0,12,0,7.0,0,0,5,0
Nick VannettTEN,TE,3,4,4,20,5.0,1,8,0,6.7,0,0,14,1
Tim PatrickDET,WR,2,3,5,20,6.7,0,10,0,10.0,0,0,11,1
Jordan MasonSF,RB,3,4,4,20,5.0,0,7,0,6.7,0,0,7,3
Daniel BellingerNYG,TE,4,2,2,20,10.0,0,17,0,5.0,0,0,1,1
Chase BrownCIN,RB,3,5,6,19,3.8,0,8,0,6.3,0,0,13,0
Trey PalmerTB,WR,3,1,3,19,19.0,0,19,0,6.3,0,0,1,1
Marvin MimsDEN,WR,3,2,4,19,9.5,0,9,0,6.3,0,0,8,0
Robert WoodsHOU,WR,3,2,2,18,9.0,0,13,0,6.0,0,0,20,0
Tanner HudsonCIN,TE,1,2,3,18,9.0,0,13,0,18.0,1,1,10,0
Miles SandersCAR,RB,3,5,7,18,3.6,0,11,0,6.0,0,0,29,0
Cade StoverHOU,TE,3,1,1,18,18.0,0,18,0,6.0,0,0,18,1
JuJu Smith-SchusterKC,WR,3,2,4,17,8.5,1,13,0,5.7,0,0,9,1
Simi FehokoLAC,WR,3,1,3,17,17.0,0,17,0,5.7,0,0,7,1
Mason TiptonNO,WR,3,3,4,17,5.7,0,6,0,5.7,0,0,6,0
Sione VakiDET,RB,3,1,1,17,17.0,0,17,0,5.7,0,0,2,1
Alec IngoldMIA,FB,3,3,4,16,5.3,0,6,0,5.3,0,0,12,0
Zamir WhiteLV,RB,3,5,6,16,3.2,0,11,0,5.3,0,0,30,1
Xavier GipsonNYJ,WR,3,2,2,16,8.0,0,11,0,5.3,0,0,14,1
Cordarrelle PattersonPIT,RB,3,3,5,15,5.0,0,6,0,5.0,0,0,13,1
Van JeffersonPIT,WR,3,3,5,15,5.0,0,12,0,5.0,0,0,12,0
Antonio GibsonNE,RB,3,4,4,15,3.8,0,7,0,5.0,0,0,23,1
Jake BoboSEA,WR,3,2,2,15,7.5,0,9,0,5.0,0,0,4,0
Jeremy RuckertNYJ,TE,3,2,5,15,7.5,0,11,0,5.0,0,0,11,2
Rhamondre StevensonNE,RB,3,5,8,15,3.0,0,7,0,5.0,0,0,21,0
Ameer AbdullahLV,RB,3,4,4,14,3.5,0,9,0,4.7,0,0,32,0
Luke FarrellJAX,TE,3,3,4,14,4.7,0,7,0,4.7,0,0,6,2
David MooreCAR,WR,3,1,4,14,14.0,0,14,0,4.7,0,0,0,0
J.K. DobbinsLAC,RB,3,7,7,14,2.0,0,6,0,4.7,0,0,26,0
Jahan DotsonPHI,WR,3,3,5,14,4.7,0,6,0,4.7,0,0,18,1
Ray DavisBUF,RB,3,3,3,14,4.7,0,14,0,4.7,0,0,28,1
Deuce VaughnDAL,RB,4,2,3,14,7.0,0,8,0,3.5,0,0,11,0
Jamaal WilliamsNO,RB,3,2,4,13,6.5,0,13,0,4.3,0,0,15,1
Parris CampbellPHI,WR,2,2,2,13,6.5,0,7,0,6.5,0,0,2,0
Adam TrautmanDEN,TE,3,1,2,13,13.0,0,13,0,4.3,0,0,10,1
AJ BarnerSEA,TE,3,3,3,13,4.3,0,8,0,4.3,0,0,11,2
Grant DuBoseMIA,WR,2,1,3,13,13.0,0,13,0,6.5,0,0,0,1
Jeff WilsonMIA,RB,3,2,2,12,6.0,0,6,0,4.0,0,0,13,0
Ronnie BellSF,WR,3,1,3,12,12.0,0,12,0,4.0,0,0,-3,1
Tyler AllgeierATL,RB,3,1,1,12,12.0,0,12,0,4.0,0,0,6,1
Trey BensonARI,RB,3,2,2,12,6.0,0,7,0,4.0,0,0,22,0
Ja'Tavion SandersCAR,TE,3,3,4,12,4.0,0,6,0,4.0,0,0,12,0
Drew OgletreeIND,TE,3,1,2,12,12.0,0,12,0,4.0,0,0,5,0
