Team,Total Points Per Game,Total Points,Total Touchdowns,1st Downs,Total 1st downs,Rushing 1st downs,Passing 1st downs,1st downs by penalty,3rd down efficiency,3rd down %,4th down efficiency,4th down %,Passing,Comp-Att,Net Passing Yards,Yards Per Pass Attempt,Net Passing Yards Per Game,Passing Touchdowns,Interceptions,Sacks-Yards Lost,Rushing,Rushing Attempts,Rushing Yards,Yards Per Rush Attempt,Rushing Yards Per Game,Rushing Touchdowns,Offense,Total Offensive Plays,Total Yards,Yards Per Game,Returns,Kickoffs: Total,Average Kickoff Return Yards,Punt: Total,Average Punt Return Yards,INT: Total,Average Interception Yards,Kicking,Net Average Punt Yards,Punt: Total Yards,FG: Good-Attempts,Touchback Percentage,Penalties,Total-Yards,Avg. Per Game (YDS),Time of Possession,Possession Time Seconds,Miscellaneous,Fumbles-Lost,Turnover Ratio
ATL,16.3,49,5,,56,19,30,7,6-27,22.22,3-6,50.00,,56-84,599,7.5,199.7,4,3,5-27,,75,323,4.3,107.7,1,,164,949,316.3,,5-134,26.8,5-51,11.3,2-0,0.0,,43.7,9-461,5-5,77,,14-118,39,,24:36,,4-1,-2
BUF,16.3,49,5,,56,19,30,7,6-27,22.22,3-6,50.00,,56-84,599,7.5,199.7,4,3,5-27,,75,323,4.3,107.7,1,,164,949,316.3,,5-134,26.8,5-51,11.3,2-0,0.0,,43.7,9-461,5-5,77,,14-118,39,,24:36,,4-1,-2
BAL,16.3,49,5,,56,19,30,7,6-27,22.22,3-6,50.00,,56-84,599,7.5,199.7,4,3,5-27,,75,323,4.3,107.7,1,,164,949,316.3,,5-134,26.8,5-51,11.3,2-0,0.0,,43.7,9-461,5-5,77,,14-118,39,,24:36,,4-1,-2
CIN,16.3,49,5,,56,19,30,7,6-27,22.22,3-6,50.00,,56-84,599,7.5,199.7,4,3,5-27,,75,323,4.3,107.7,1,,164,949,316.3,,5-134,26.8,5-51,11.3,2-0,0.0,,43.7,9-461,5-5,77,,14-118,39,,24:36,,4-1,-2
CLE,16.3,49,5,,56,19,30,7,6-27,22.22,3-6,50.00,,56-84,599,7.5,199.7,4,3,5-27,,75,323,4.3,107.7,1,,164,949,316.3,,5-134,26.8,5-51,11.3,2-0,0.0,,43.7,9-461,5-5,77,,14-118,39,,24:36,,4-1,-2
DAL,16.3,49,5,,56,19,30,7,6-27,22.22,3-6,50.00,,56-84,599,7.5,199.7,4,3,5-27,,75,323,4.3,107.7,1,,164,949,316.3,,5-134,26.8,5-51,11.3,2-0,0.0,,43.7,9-461,5-5,77,,14-118,39,,24:36,,4-1,-2
DEN,16.3,49,5,,56,19,30,7,6-27,22.22,3-6,50.00,,56-84,599,7.5,199.7,4,3,5-27,,75,323,4.3,107.7,1,,164,949,316.3,,5-134,26.8,5-51,11.3,2-0,0.0,,43.7,9-461,5-5,77,,14-118,39,,24:36,,4-1,-2
DET,16.3,49,5,,56,19,30,7,6-27,22.22,3-6,50.00,,56-84,599,7.5,199.7,4,3,5-27,,75,323,4.3,107.7,1,,164,949,316.3,,5-134,26.8,5-51,11.3,2-0,0.0,,43.7,9-461,5-5,77,,14-118,39,,24:36,,4-1,-2
GB,16.3,49,5,,56,19,30,7,6-27,22.22,3-6,50.00,,56-84,599,7.5,199.7,4,3,5-27,,75,323,4.3,107.7,1,,164,949,316.3,,5-134,26.8,5-51,11.3,2-0,0.0,,43.7,9-461,5-5,77,,14-118,39,,24:36,,4-1,-2
HOU,16.3,49,5,,56,19,30,7,6-27,22.22,3-6,50.00,,56-84,599,7.5,199.7,4,3,5-27,,75,323,4.3,107.7,1,,164,949,316.3,,5-134,26.8,5-51,11.3,2-0,0.0,,43.7,9-461,5-5,77,,14-118,39,,24:36,,4-1,-2
IND,16.3,49,5,,56,19,30,7,6-27,22.22,3-6,50.00,,56-84,599,7.5,199.7,4,3,5-27,,75,323,4.3,107.7,1,,164,949,316.3,,5-134,26.8,5-51,11.3,2-0,0.0,,43.7,9-461,5-5,77,,14-118,39,,24:36,,4-1,-2
JAX,16.3,49,5,,56,19,30,7,6-27,22.22,3-6,50.00,,56-84,599,7.5,199.7,4,3,5-27,,75,323,4.3,107.7,1,,164,949,316.3,,5-134,26.8,5-51,11.3,2-0,0.0,,43.7,9-461,5-5,77,,14-118,39,,24:36,,4-1,-2
KC,16.3,49,5,,56,19,30,7,6-27,22.22,3-6,50.00,,56-84,599,7.5,199.7,4,3,5-27,,75,323,4.3,107.7,1,,164,949,316.3,,5-134,26.8,5-51,11.3,2-0,0.0,,43.7,9-461,5-5,77,,14-118,39,,24:36,,4-1,-2
